"","route","2012","2013","2014","2015","2016","2017","2018"
"1","1",710390,560731,503731,503130,433894,415930,110313
"2","10",224185,159148,141462,153630,103532,62905,NA
"3","100",242278,201316,171838,184288,169637,157991,38102
"4","1001",93686,176318,180018,444461,64974,58736,3874
"5","103",1068449,891234,820563,837534,765865,685345,147417
"6","106",639949,566457,516993,468563,432287,379500,95332
"7","108",522699,431376,337072,338819,320834,292817,73033
"8","11",1631987,498260,498625,517703,542025,515507,105471
"9","111",2064679,1110268,1178259,1210074,1131020,1057850,240662
"10","111A",NA,6393,58677,71753,64727,61734,14293
"11","112",902517,766024,688754,728055,699697,607710,143632
"12","115",38838,1099183,1247172,1273413,1114940,935101,218764
"13","119",1933391,1606302,1545459,1505143,1427918,1397417,323540
"14","12",5168908,4712445,4446299,4450807,4343842,4122931,950357
"15","120",186393,278301,267546,247015,230656,224051,64905
"16","121",217742,383002,371281,354321,303253,285504,78870
"17","122",105356,NA,NA,NA,NA,NA,NA
"18","123",89925,NA,NA,NA,NA,NA,NA
"19","124",414545,419099,382507,344249,399412,411269,73149
"20","125",417617,424807,385027,350586,329836,301268,79172
"21","126",2060931,2080553,1900710,1855245,1650208,1604523,368469
"22","128",11133,11199,4759,6890,6988,9479,NA
"23","129",239567,NA,NA,NA,NA,NA,NA
"24","130",118227,98571,93422,92392,87598,88237,7811
"25","132",67336,92420,76980,61564,60191,59323,16028
"26","134",822807,884187,847684,768569,722110,726892,184344
"27","135",996197,984120,902184,849777,788497,799313,203428
"28","136",615979,578614,504670,486990,462031,482498,119383
"29","14",3246334,NA,NA,NA,NA,NA,NA
"30","143",403875,481712,474167,478413,471730,457408,117760
"31","144",285551,NA,NA,NA,NA,NA,NA
"32","145",2034263,NA,NA,NA,NA,NA,NA
"33","146",3418668,5054167,4702450,4655646,4496517,4253426,945778
"34","147",5094401,4776094,4435610,4403587,4063379,3878305,894975
"35","148",623824,605893,596201,616122,605602,597477,148413
"36","15",2697600,2585984,2391881,2418124,2301408,2212187,537018
"37","151",7078674,6681955,6024519,5836637,5356727,5204468,1158202
"38","152",3137625,3122154,2954066,3022799,2845095,2795350,648089
"39","154",41730,50133,76,3,69,NA,NA
"40","155",2512294,2356082,2349667,2409576,2402608,2200213,501435
"41","156",1984904,2158792,2028460,1922951,1769505,1674806,430341
"42","157",1438827,1491813,1485986,1388017,1453911,1375260,377969
"43","165",19254,23220,28273,31216,29770,30358,9135
"44","169",95004,60843,57380,57651,51701,53397,8729
"45","17",116026,NA,NA,NA,NA,NA,NA
"46","170",85267,91261,79968,83666,33679,NA,NA
"47","171",369920,379311,327800,356174,328520,314019,101427
"48","172",519723,557374,507262,527979,490121,488116,134082
"49","18",1251949,1250342,1232212,1113764,1197277,1203764,287773
"50","19",34327,50240,39563,45845,30659,28064,11653
"51","192",209630,242832,221687,219151,214717,212152,55311
"52","2",754544,790255,803657,852261,821724,829740,211997
"53","20",6497960,6142696,5793980,5527863,5354512,5058718,1228625
"54","201",592995,555168,527502,565380,631917,599702,163592
"55","205",295975,240353,218057,234575,221009,208297,53343
"56","206",172048,205759,182586,193383,194237,174666,40813
"57","21",3309585,2984267,2918273,3090039,3012997,2938831,660812
"58","22",7393815,7055212,6370708,6084557,5620134,5391594,1277199
"59","24",915201,989350,765917,748030,710166,683399,160583
"60","26",822216,873287,820405,821634,920307,1071317,259185
"61","28",1738169,2342395,2172003,2113744,1946004,1860514,434194
"62","29",5010017,5161263,4333951,4306760,3913884,3670905,806882
"63","3",7186117,6784859,6118482,6132995,5698439,5373642,1241938
"64","30",1106136,995254,992154,1082077,991019,953321,229552
"65","31",NA,NA,NA,NA,41746,130966,35324
"66","33",144632,42495,8,NA,NA,NA,NA
"67","34",2037272,1780091,1658962,1652543,1577427,1534406,371549
"68","35",1737889,1575676,1664387,1705066,1676931,1564871,359342
"69","36",5953182,5334005,4853356,4694191,4280471,4057863,985963
"70","37",9956,426910,419388,428644,386641,356751,93412
"71","39",593532,511934,498527,565546,521164,519997,133683
"72","4",7809730,7412694,6681308,6747774,6424587,6248666,1481954
"73","43",613604,518863,527016,525135,486500,438687,99257
"74","44",1447950,1383304,1189665,1144441,1048516,1015237,234642
"75","47",3779342,3280824,3209674,3323421,3189908,3096307,703896
"76","48",330934,325317,286635,294271,244532,230252,59605
"77","49",9261071,8624258,7720746,7462134,5562628,5417266,1249661
"78","49A",144569,NA,NA,NA,NA,NA,NA
"79","49B",1886467,1825948,1713941,1727416,1738749,1717570,398719
"80","5",229592,170242,172009,183161,162640,165207,35317
"81","50",3294045,3340064,3075629,3012587,2946840,2865657,704121
"82","51",702247,557920,507757,464074,449828,427831,106010
"83","52",4438423,4119895,3782525,3831437,3709798,3661779,905973
"84","52A",1426317,1418731,1303547,1303186,1257327,1231679,282155
"85","53",7081426,6693151,6253814,6293989,5895532,5616361,1322517
"86","53A",2681231,2528994,2294675,2403596,2376585,2285037,512715
"87","54",4229237,3850845,3745394,3721697,3524886,3322173,761546
"88","54A",284348,258086,229077,213443,195610,188722,43948
"89","54B",1368688,1178327,1115539,1147971,1078172,1017274,213325
"90","55",4324209,3896621,3629638,3675061,3442631,3225561,726847
"91","55A",73230,63691,74730,72395,81777,81409,20325
"92","55N",178418,160172,149580,155282,160102,156430,37821
"93","56",3393805,3166678,3244868,2839333,2667350,2550774,619541
"94","56A",216571,NA,NA,NA,NA,NA,NA
"95","57",930898,1005282,1431571,1399264,809409,729246,170545
"96","59",1159583,1021283,1092994,1096216,959924,897329,208096
"97","6",4053364,3967565,3623927,3547332,3247574,3129590,694663
"98","60",3717946,3569054,3207039,3121358,3147656,3159031,781036
"99","62",3793066,3728511,3264455,3368927,3324397,3183353,725270
"100","62H",372047,324276,253749,263721,289356,281653,65945
"101","63",6685204,5817802,5700754,5379870,5162657,4983694,1163327
"102","63W",506036,433700,404375,406802,416508,423402,99705
"103","64",46127,NA,NA,NA,NA,NA,NA
"104","65",2664458,2636913,2543816,2659718,2630921,2537953,590695
"105","66",8623682,8359271,7587908,7399953,7088030,6927589,1701628
"106","67",4785165,4092943,4057758,3962573,3693175,3422974,771207
"107","68",399611,434045,368655,388131,398683,398594,96811
"108","69",106078,NA,NA,NA,NA,NA,NA
"109","7",1688288,1726593,1479156,1465577,1259619,1291810,337260
"110","70",3205084,3105796,2900691,3006274,2751467,2701305,656751
"111","71",3397683,2864625,2840635,2851832,2777530,2902406,697399
"112","72",5707131,5406747,5177469,5211850,4959819,4712979,1070296
"113","73",1913229,1791642,1319750,1280858,1722672,1656099,385786
"114","74",4489623,4350562,4149836,4113423,3865711,3761014,886653
"115","75",2678824,2362170,2453333,2422955,2230746,2182861,521343
"116","76",3898584,3875092,3712575,3723584,3622252,3339648,810033
"117","77",7657463,7394130,6943544,7008076,6671135,6416228,1487128
"118","78",2995443,2895379,2700222,2561763,2370553,2350297,562147
"119","79",10200267,8852931,8395095,8716273,8268367,7869078,1834081
"120","8",7334879,7283520,6741433,6820588,6375504,6272020,1574074
"121","80",4752414,4440906,4141234,4093915,3757834,3495246,801648
"122","81",4575165,4315971,4040281,4014557,3958320,3763316,869373
"123","81W",502254,532757,512328,495479,515183,507508,125850
"124","82",6294079,6140699,5801703,5898216,5775101,5340350,1271750
"125","84",1316511,1261757,1190016,1211526,1148067,1112847,255542
"126","85",3771323,3553396,3300161,3278083,3062225,2882077,671233
"127","85A",287205,254176,244146,200571,168648,164685,36983
"128","86",734222,767008,668857,669739,631746,618620,150833
"129","87",5077387,4411294,4125200,4230054,3988939,3783376,867740
"130","88",404997,407124,381854,378397,407710,394826,94124
"131","8A",1328465,1456807,1052107,1052086,958869,905903,211625
"132","9",10266514,9842223,8698215,8856964,6329587,6222692,1440354
"133","90",1733856,1676598,1598394,1577324,1499521,1419781,310542
"134","90N",125427,NA,NA,NA,NA,NA,NA
"135","91",2475295,2282295,2180057,2154171,1981453,1971388,461102
"136","92",2284098,2205256,2127211,2148058,2022942,1948483,459876
"137","93",994091,1018879,945087,962604,952404,925024,222197
"138","94",3224708,3098878,2828217,2903477,2734488,2594774,599403
"139","95",NA,NA,NA,NA,595069,1781664,415194
"140","95E",1562701,1382130,1219301,1211142,754327,NA,NA
"141","95W",1558790,933757,821034,809737,478787,NA,NA
"142","96",233012,212775,203760,223887,220571,208699,50794
"143","97",1288141,1158178,1011770,1017728,993083,928966,215056
"144","992",NA,NA,NA,NA,1,NA,NA
"145","999",NA,NA,NA,NA,2,NA,NA
"146","J14",465264,3920435,3546433,3455861,3296029,3193752,763710
"147","N201",14020,NA,NA,NA,NA,NA,NA
"148","R22",NA,410370,NA,NA,NA,NA,NA
"149","R39",NA,2569,NA,NA,NA,NA,NA
"150","R55",NA,107556,NA,NA,NA,NA,NA
"151","R63",NA,1014963,NA,NA,NA,NA,NA
"152","R69",NA,239755,NA,NA,NA,NA,NA
"153","R79",NA,545061,NA,NA,NA,NA,NA
"154","R87",NA,419746,NA,NA,NA,NA,NA
"155","R95",NA,1474310,NA,NA,NA,NA,NA
"156","X28",1066166,NA,NA,NA,NA,NA,NA
"157","X49",NA,NA,NA,27808,1599849,1649853,406257
"158","X9",NA,NA,NA,36916,2075111,2095483,521340
"159","X98",43621,13820,4261,3956,3282,5843,852
